index,Korea,English,Taiwanese,Portuguese,Italian,Turkish,Russian,French,Spanish,Japan
int,string,string,string,string,string,string,string,string,string,string
10001,서버에 접속할 수 없습니다. 다시 시도해보시겠습니까?,Unable to contact the server. Please try again?,無法連線至伺服器，要再試一次嗎？,Não é possível conectar no servidor. Por favor. tente novamente.,Non riesco a contattare il server. Riprova ancora,Sunucuyla bağlantı kurulamadı. Lütfen tekrar deneyiniz?,Не удалось соединиться с сервером. Попробовать снова?,Impossible de contacter le serveur. Veuillez réessayer ?,No se puede contactar con el servidor. ¿Probar de nuevo?,サーバーに接続できません。もう一度試しますか？
10002,서버 점검 중입니다.,Checking the server now.,伺服器檢測中。,Verificando o servidor agora.,Sto controllando il server.,Şimdi sunucu denetleniyor.,Идет проверка сервера.,Verification du serveur.,Comprobado el servidor ahora.,サーバーメンテナンス中です。
10003,데이터 인증 오류입니다.,Data authentication error.,數據認證錯誤。,Erro de autenticação de dados.,Errore di autenticazione dei dati.,Veri doğrulama hatası.,Ошибка авторизации данных.,Erreur de données d’authentification.,Error de autentificación de datos.,データ認証エラーです。
10004,중복 로그인 오류입니다.,Multiple login error.,重複登入錯誤。,Erro de login múltiplo.,Errore di login multiplo.,Çoklu giriş hatası.,Ошибка множественного входа.,Erreur d'identification multiple.,Error de acceso múltiple.,重複ログインエラーです。
10005,클라이언트 업데이트가 필요합니다.,Client update is required.,需更新客戶端。,A atualização de cliente é necessário.,Richiesto update del client.,Müşteri güncellemesi gerekli.,Необходимо обновление клиента.,Une mis à jour du client est requise.,Se requiere la actualización del cliente.,クライアントのアップデートが必要です。
10006,보안 오류가 발생하여 앱이 종료됩니다.,A security error has occurred and the app will terminate.,發生安全錯誤，已關閉APP。,Ocorreu um erro de segurança e o app será encerrado.,Si è verificato un errore di sicurezza e l'app verrà chiusa.,Güvenlik hatası meydana geldi ve uygulama sona erdirilecek.,Возникла ошибка безопасности. Приложение будет закрыто.,Une erreur de sécurité est apparu l'application va se fermer.,Se cerrará la app debido a que se produjo un error de seguridad.,セキュリティエラーが発生したためアプリを終了します。
10007,게임을 종료하시겠습니까?,Are you sure you want to quit the game?,要結束遊戲嗎？,Tem certeza de que deseja sair do jogo?,Sei sicuro di voler uscire dal gioco?,Oyundan çıkmak istediğinden emin misin?,Выйти из игры?,Êtes vous sur de vouloir quitter le jeu ?,¿Estás seguro de que quieres abandonar el juego?,ゲームを終了しますか？
10008,확인,OK,確定,OK,OK,TAMAM,Ок,OK,OK,OK
10009,취소,Cancel,取消,Cancelar,Cancella,İptal,Отмена,Annuler,Cancelar,キャンセル
10010,온라인 모드에서는 오프라인 모드 데이터를 사용할 수 없습니다.,Offline mode data is not available in online mode.,線上模式無法使用離線模式數據。,Os dados do modo offline não estão disponíveis no modo online.,I dati della modalità offline non sono disponibili in modalità online.,Çevrimdışı modu verisi çevrimiçi modda kullanılamaz.,Данные из офлайн-режима недоступны в онлайн-режиме.,Les données en mode hors-ligne ne sont pas disponible en mode en ligne.,Los datos del modo offline no están disponibles en el modo online.,オンラインモードでは、オフラインモードのデータを使用することができません。
10011,오프라인 모드에서는 온라인 모드 데이터를 사용할 수 없습니다.,Online mode data is not available in offline mode.,離線模式無法使用線上模式數據。,Os dados do modo online não estão disponíveis no modo offline.,I dati della modalità online non sono disponibili in modalità offline.,Çevrimiçi modu verisi çevrimdışı modda kullanılamaz.,Данные из онлайн-режима недоступны в офлайн-режиме.,Les données en mode en ligne ne sont pas disponible en mode en hors-ligne.,Los datos del modo offline no están disponibles en el modo online.,オフラインモードでは、オンラインモードのデータを使用することができません。
10012,해당 데이터는 현재 버전과 맞지 않습니다.\n초기화 하시겠습니까?,The data does not match the current version.;Are you sure you want to initialize?,該數據與目前版本不相符，\n要重置嗎？,Os dados não correspondem à versão atual.;Tem certeza de que deseja inicializar?,I dati non corrispondono alla versione corrente; sei sicuro di voler inizializzare?,Data güncel versiyonla eşleşmiyor.;Sıfırlamak istediğine emin misin?,Данные не совпадают с текущей версией.\nСбросить?,Les données ne correspondent pas la version actuelle.;Êtes vous sur de vouloir continuer ?,Los datos no coinciden con la versión actual. ¿Estás seguro de que quieres iniciarlo?,そのデータは、現在のバージョンと一致しません。;初期化しますか？
10013,동일한 플랫폼 ID로 이전 데이터가 남아있습니다. 데이터를 삭제하고 새로 진행하시겠습니까?,Old data remains with the same platform ID. Are you sure you want to delete the data and refresh it?,相同平台的ID留有先前數據，要刪除數據並重新進行嗎？,Os dados antigos permanecem com a mesma ID da plataforma. Tem certeza de que deseja excluir os dados e atualizá-los?,I vecchi dati rimangono nella stessa piattaforma ID. Sei sicuro di voler cancellare i dati e aggiornarli?,Eski veri. aynı platform Takma Adıyla kaldı. Veriyi silip yinelemek istediğinden emin misin?,Старые данные сохранены с таким же ID платформы. Удалить данные и начать заново?,Les anciennes données restent avec le même identifiant de plate-forme. Êtes-vous sûr de vouloir supprimer les données et les actualiser?,Los datos antiguos permanecen con el mismo ID de la plataforma. ¿Estás seguro de que quieres eliminar los datos y actualizarlos?,同じプラットフォームIDで以前のデータが残っています。データを削除して新たにはじめますか？
10014,치트어플을 제거하시고 사용하실 수 있습니다.,You can use the game after removing the cheat application.,刪除外掛APP後即可使用。,Você pode usar o jogo depois de remover o app fraude.,Puoi utilizzare il gioco dopo aver rimosso l'applicazione dei trucchi.,Sahte uygulamayı sildikten sonra oyunu kullanabilirsin.,Вы можете использовать игру после удаления приложения с читами.,Vous pouvez utiliser le jeu après avoir retiré l'application de triche.,Puedes usar el juego después de eliminar la aplicación para hacer trampas.,チートアプリのアンインストール後にゲームをプレイできます。
10015,정상적이지 않은 어플입니다. 정상적인 경로에서 어플을 받아 설치해주세요.,This application is not normal. Please install the application from the normal path.,非正常的APP，請於正常途徑下載並安裝APP。,Esta aplicação não é normal. Por favor. instale o aplicativo do caminho normal.,Questa applicazione non è normale. Per favore installa l'applicazione da un path normale.,Bu uygulama normal değil. Lütfen uygulamayı normal yoldan yükleyiniz.,Это приложение не нормальное. Установите приложение нормальным методом.,Cette application n'est pas conforme. Installez l'application à partir du chemin d'accès normal.,Esta aplicación no es normal. Por favor. instala la aplicación siguiendo los pasos correctos.,正常ではないアプリです。通常の方法でアプリをインストールしてください。
10016,카카오 로그인 세션이 만료되거나 유효하지 않습니다. 게임을 다시 시작해주시기 바랍니다.,The Kakao login session has expired or is invalid. Please restart the game.,Kakao登入已過期或無效，請重新開始遊戲。,A sessão de login do Kakao expirou ou é inválida. Por favor. reinicie o jogo.,La sessione di login Kakao è scaduto o non è valido. Per favore riavvia il gioco.,Kakao Giriş bölümü zaman aşımına uğradı ya da geçersiz. Lütfen oyunu yeniden başlatınız.,Истек срок входа через Kakao. или неверный вход. Перезапустите игру.,La session de connexion Kakao a expiré ou n'est pas valide. Redémarrez le jeu.,La sesión de Kakao ha expirado o no es válida. Por favor. reinicia el juego.,カカオログインセッションが期限切れ、もしくは無効です。ゲームを再起動してください。
